Suspeito,id_campo,Setor,status,LON,LAT
0,344,9,False,-42.11726,-22.942606
0,345,9,False,-42.11537,-22.942906
0,346,9,False,-42.115365,-22.943018
0,347,9,False,-42.114965,-22.943012
1,348,9,False,-42.114039,-22.943345
1,349,9,False,-42.114051,-22.943371
1,350,9,False,-42.114059,-22.943396
1,351,9,False,-42.11275,-22.944224
0,352,9,False,-42.112384,-22.944278
1,353,9,False,-42.112222,-22.944021
0,354,9,False,-42.111753,-22.944384
0,355,9,False,-42.111193,-22.944892
0,356,9,False,-42.111529,-22.945637
0,357,9,False,-42.11193,-22.945619
0,358,9,False,-42.110652,-22.946255
1,359,9,False,-42.110613,-22.945715
0,360,9,False,-42.110885,-22.947055
1,361,9,False,-42.111514,-22.947378
1,362,9,False,-42.111847,-22.947343
